iso3,country_name_standard,dashboard_name,wb_name,wb_region,wb_income,aquastat_name,faostat_code,geojson_name,gee_boundary_name,include_flag,source,notes
SAU,Saudi Arabia,Saudi Arabia,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,,YES,wb_only,
SDN,Sudan,Sudan,Sudan,Sub-Saharan Africa ,Low income,,,,,REVIEW,wb_only,Sudan — split from South Sudan (SSD) in 2011; pre-2011 data combined
SEN,Senegal,Senegal,Senegal,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
SGP,Singapore,Singapore,Singapore,East Asia & Pacific,High income,,,,,YES,wb_only,
SLB,Solomon Islands,Solomon Islands,Solomon Islands,East Asia & Pacific,Lower middle income,,,,,YES,wb_only,
SLE,Sierra Leone,Sierra Leone,Sierra Leone,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
SLV,El Salvador,El Salvador,El Salvador,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
SMR,San Marino,San Marino,San Marino,Europe & Central Asia,High income,,,,,YES,wb_only,
SOM,"Somalia, Fed. Rep.","Somalia, Fed. Rep.","Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
SRB,Serbia,Serbia,Serbia,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
SSD,South Sudan,South Sudan,South Sudan,Sub-Saharan Africa ,Low income,,,,,REVIEW,wb_only,South Sudan — independent 2011; no pre-2011 data
STP,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
SUR,Suriname,Suriname,Suriname,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
SVK,Slovak Republic,Slovak Republic,Slovak Republic,Europe & Central Asia,High income,,,,,YES,wb_only,
SVN,Slovenia,Slovenia,Slovenia,Europe & Central Asia,High income,,,,,YES,wb_only,
SWE,Sweden,Sweden,Sweden,Europe & Central Asia,High income,,,,,YES,wb_only,
SWZ,Eswatini,Eswatini,Eswatini,Sub-Saharan Africa ,Lower middle income,,,,,REVIEW,wb_only,Eswatini — formerly Swaziland; older data use SWZ/SWZ or SZ
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),Latin America & Caribbean ,High income,,,,,YES,wb_only,
SYC,Seychelles,Seychelles,Seychelles,Sub-Saharan Africa ,High income,,,,,YES,wb_only,
SYR,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,,,,YES,wb_only,
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,Latin America & Caribbean ,High income,,,,,YES,wb_only,
TCD,Chad,Chad,Chad,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
TGO,Togo,Togo,Togo,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
THA,Thailand,Thailand,Thailand,East Asia & Pacific,Upper middle income,,,,,YES,wb_only,
TJK,Tajikistan,Tajikistan,Tajikistan,Europe & Central Asia,Lower middle income,,,,,YES,wb_only,
TKM,Turkmenistan,Turkmenistan,Turkmenistan,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
TLS,Timor-Leste,Timor-Leste,Timor-Leste,East Asia & Pacific,Lower middle income,,,,,YES,wb_only,
TON,Tonga,Tonga,Tonga,East Asia & Pacific,Upper middle income,,,,,YES,wb_only,
TTO,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Latin America & Caribbean ,High income,,,,,YES,wb_only,
TUN,Tunisia,Tunisia,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,,,,YES,wb_only,
TUR,Turkiye,Turkiye,Turkiye,Europe & Central Asia,Upper middle income,,,,,REVIEW,wb_only,Turkey — officially renamed Türkiye in 2022; World Bank may lag
TUV,Tuvalu,Tuvalu,Tuvalu,East Asia & Pacific,Upper middle income,,,,,YES,wb_only,
TZA,Tanzania,Tanzania,Tanzania,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
UGA,Uganda,Uganda,Uganda,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
UKR,Ukraine,Ukraine,Ukraine,Europe & Central Asia,Upper middle income,,,,,YES,wb_only,
URY,Uruguay,Uruguay,Uruguay,Latin America & Caribbean ,High income,,,,,YES,wb_only,
USA,United States,United States,United States,North America,High income,,,,,YES,wb_only,
UZB,Uzbekistan,Uzbekistan,Uzbekistan,Europe & Central Asia,Lower middle income,,,,,YES,wb_only,
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
VEN,"Venezuela, RB","Venezuela, RB","Venezuela, RB",Latin America & Caribbean ,Not classified,,,,,YES,wb_only,
VGB,British Virgin Islands,British Virgin Islands,British Virgin Islands,Latin America & Caribbean ,High income,,,,,YES,wb_only,
VIR,Virgin Islands (U.S.),Virgin Islands (U.S.),Virgin Islands (U.S.),Latin America & Caribbean ,High income,,,,,YES,wb_only,
VNM,Viet Nam,Viet Nam,Viet Nam,East Asia & Pacific,Lower middle income,,,,,YES,wb_only,
VUT,Vanuatu,Vanuatu,Vanuatu,East Asia & Pacific,Lower middle income,,,,,YES,wb_only,
WSM,Samoa,Samoa,Samoa,East Asia & Pacific,Upper middle income,,,,,YES,wb_only,
XKX,Kosovo,Kosovo,Kosovo,Europe & Central Asia,Upper middle income,,,,,REVIEW,wb_only,Kosovo — not an ISO-3 member; World Bank uses XKX
YEM,"Yemen, Rep.","Yemen, Rep.","Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,,,,,YES,wb_only,
ZAF,South Africa,South Africa,South Africa,Sub-Saharan Africa ,Upper middle income,,,,,YES,wb_only,
ZMB,Zambia,Zambia,Zambia,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
ZWE,Zimbabwe,Zimbabwe,Zimbabwe,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
